Kanji#Reading#JLPT#Type#Meaning
['〃']#[['おなじ'], ['おなじく']]#100#['&n;']#['ditto mark']
['羆']#[['ひぐま'], ['ひ'], ['しくま'], ['しぐま'], ['ヒグマ']]#100#['&n;']#['brown bear (Ursus arctos)']
['胚']#[['はい']]#100#['&n;']#['embryo', 'germ (e.g. wheat germ)']
['贅']#[['ぜい']]#100#['&n;']#['extravagance', 'luxury']
['お侠']#[['おきゃん']]#100#['&adj-na;', '&n;']#['pert', 'tomboyish', 'impudent', 'lively', 'boisterous']
['袵']#[['おくみ']]#100#['&n;']#['gusset (esp. in kimono)', 'gore']
['奢り']#[['おごり']]#100#['&n;']#['luxury', 'extravagance']
['シメニア狼']#[['シメニアおおかみ']]#100#['&n;']#['simenian wolf (Canis simensis)', 'Abyssinia jackal', 'simian jackal', 'simenian jackal', 'Ethiopian wolf']
['エチオピア狼']#[['エチオピアおおかみ']]#100#['&n;']#['Ethiopian wolf (carnivore, Canis simensis)', 'Abyssinia jackal', 'simian jackal', 'simenian jackal', 'simenian wolf']
['蝦夷狼']#[['えぞおおかみ'], ['エゾオオカミ']]#100#['&n;']#['Hokkaido wolf (Canis lupus hattai, extinct)']
['灸']#[['きゅう'], ['やいと']]#100#['&n;']#['moxibustion']
['鯱瓦']#[['しゃちほこがわら']]#100#['&n;']#['ridge-end tile with the figure of a shachihoko (e.g. on a castle)']
['坤']#[['こん']]#100#['&n;']#['kun (one of the trigrams of the I Ching: earth, southwest)']
['艮']#[['ごん'], ['こん'], ['え']]#100#['&n;']#['gen (one of the trigrams of the I Ching: mountain, northeast)']
['雀牌']#[['ジャンパイ']]#100#['&n;']#['mahjong tile']
['櫟']#[['くぬぎ'], ['くのぎ'], ['クヌギ']]#100#['&n;']#['sawtooth oak (Quercus acutissima)']
['誰々']#[['だれだれ']]#100#['&pn;']#['so-and-so']
['ドラマＣＤ']#[['ドラマシーディー']]#100#['&n;']#['voice dramatization on CD (usu. based on manga, anime, etc.)']
['噛柴']#[['たむしば'], ['タムシバ']]#100#['&n;']#['willow-leafed magnolia (Magnolia salicifolia)', 'anise magnolia']
['贋アカシア']#[['にせアカシア'], ['ニセアカシア']]#100#['&n;']#['black locust', 'robinia pseudoacacia']
['槐']#[['えんじゅ'], ['エンジュ']]#100#['&n;']#['Japanese pagoda tree (Sophora japonica)']
['椈']#[['ぶな'], ['ブナ']]#100#['&n;']#['Japanese beech (Fagus crenata)', \"Siebold's beech\"]
['欅']#[['けやき'], ['つき'], ['ケヤキ'], ['ツキ']]#100#['&n;']#['Japanese zelkova (species of elm-like tree, Zelkowa serrata)']
['お櫃']#[['おひつ']]#100#['&n;']#['round, wooden container for cooked rice']
['餅つき']#[['もちつき']]#100#['&n;']#['pounding mochi']
['鞴']#[['ふいご'], ['フイゴ']]#100#['&n;']#['(pair of) bellows']
['跨ぎ']#[['またぎ']]#100#['&n;']#['step or stride (over something)']
['ＣＡＴＶ']#[['シーエーティービー'], ['シーエーティーブイ']]#100#['&n;']#['community antenna television', 'CATV']
['ＣＴ']#[['シーティー']]#100#['&n;']#['computerized tomography', 'CT']
['Ｇメン']#[['ジーメン']]#100#['&n;']#['G-man', 'FBI agent']
['ＤＨ']#[['ディーエイチ'], ['ディーエッチ']]#100#['&n;']#['designated hitter', 'DH']
['ＤＪ']#[['ディージェー']]#100#['&n;']#['DJ', 'disc jockey']
['ＤＤＴ']#[['ディーディーティー']]#100#['&n;']#['dichlorodiphenyl-trichloro-ethane', 'DDT']
['バルトリン腺']#[['バルトリンせん']]#100#['&n;']#[\"Bartholin's glands\"]
['框']#[['かまち']]#100#['&n;']#['door frame', 'window frame', {'_': 'frame sections of the door or window that provide most of its structural integrity', '$': {'g_type': 'expl'}}]
['ＢＳ']#[['ビーエス']]#100#['&n;']#['broadcast(ing) satellite', 'BS']
['ＢＣＧ']#[['ビーシージー']]#100#['&n;']#['Bacille Calmette-Guerin (tuberculosis vaccine)', 'BCG']
['ＰＫＦ']#[['ピーケーエフ']]#100#['&n;']#['peacekeeping forces', 'PKF']
['ＰＫＯ']#[['ピーケーオー']]#100#['&n;']#['peacekeeping operations', 'PKO']
['ＰＴＡ']#[['ピーティーエー']]#100#['&n;']#['Parent-Teacher Association', 'PTA']
['マント狒狒']#[['マントひひ'], ['マントヒヒ']]#100#['&n;']#['hamadryas baboon (Papio hamadryas)', 'sacred baboon']
['澱']#[['おり']]#100#['&n;']#['dregs', 'lees', 'grounds', 'sediment']
['澱']#[['よど']]#100#['&n;']#['pool (in river)']
['嬶']#[['かかあ'], ['かか']]#100#['&n;']#['wife']
['篝']#[['かがり']]#100#['&n;']#['iron basket for torches', 'cresset', 'brazier']
['縢り']#[['かがり']]#100#['&n;']#['sewing up', 'darning']
['臀鰭']#[['しりびれ']]#100#['&n;']#['anal fin (of a fish)']
['筧']#[['かけひ']]#100#['&n;']#['open water pipe', 'conduit']
['鵲']#[['かささぎ'], ['カササギ']]#100#['&n;']#['European magpie (Pica pica)']
['ぼたん鍋']#[['ぼたんなべ']]#100#['&n;']#['boar meat hot pot', 'boar stew']
['袂']#[['たもと']]#100#['&n;']#['sleeve (esp. of a kimono)', 'pocket of sleeve']
['ＡＬＳ']#[['エーエルエス']]#100#['&n;']#['amyotrophic lateral sclerosis', 'ALS']
['鸛']#[['こうのとり'], ['こう'], ['コウノトリ']]#100#['&n;']#['stork (esp. the Oriental stork, Ciconia boyciana)']
['辣韮']#[['らっきょう'], ['らっきょ'], ['ラッキョウ'], ['ラッキョ']]#100#['&n;']#['Japanese leek (Allium chinense)', 'Chinese onion']
['煤塵']#[['ばいじん']]#100#['&n;']#['dust and soot', 'particulate matter']
['カップ麺']#[['カップめん']]#100#['&n;']#['instant noodles sold in a cup', 'cup noodles']
['瓜の蔓']#[['うりのつる']]#100#['&n;']#['gourd vine']
['禊祓']#[['みそぎはらえ']]#100#['&n;']#['ritual purification', 'cleansing of crimes, impurities, etc.']
['お揃い']#[['おそろい']]#100#['&n;']#['being together', 'going together']
['叺']#[['かます']]#100#['&n;']#['straw bag']
['髢']#[['かもじ']]#100#['&n;']#['hairpiece', 'false hair', 'switch']
['楫枕']#[['かじまくら']]#100#['&n;']#['voyage']
['襖']#[['あお']]#100#['&n;']#['everyday garment worn by men in ancient Japan']
['フィッシュ＆チップス']#[['フィッシュアンドチップス'], ['フィッシュ・アンド・チップス']]#100#['&n;']#['fish and chips']
['鐶']#[['かん']]#100#['&n;']#['ring', 'link']
['葱鮪']#[['ねぎま']]#100#['&n;']#['dishes based on spring onions and tuna']
['４ＷＤ']#[['よんダブリューディー']]#100#['&n;']#['four-wheel drive (vehicle)']
['笏']#[['しゃく']]#100#['&n;']#['shaku', {'_': 'flat wooden or ivory baton carried in the right hand when in ceremonial imperial or Shinto garb', '$': {'g_type': 'expl'}}]
['广']#[['まだれ']]#100#['&n;']#['kanji \"dotted cliff\" radical (radical 53)']
['蹴り']#[['けり']]#100#['&n;']#['kick']
['鳧']#[['けり'], ['ケリ']]#100#['&n;']#['gray-headed lapwing (Microsarcops cinereus)', 'grey-headed lapwing']
['きし麺']#[['きしめん']]#100#['&n;']#['noodles made in flat strips']
['ホッチキス芯']#[['ホッチキスしん'], ['ホチキスしん']]#100#['&n;']#['staple (for a stapler)']
['癩']#[['らい'], ['かったい'], ['かたい']]#100#['&n;']#[\"Hansen's disease\", 'leprosy', 'leper']
['瘡かき']#[['かさかき']]#100#['&n;']#['person with a skin disease (esp. syphilis)', 'syphilitic patient']
['瘡っかき']#[['かさっかき']]#100#['&n;']#['person with skin disease (esp. syphilis)']
['盥']#[['たらい']]#100#['&n;']#['tub', 'washbasin', 'washbowl']
['粟餅']#[['あわもち']]#100#['&n;']#['millet dough cake', 'millet mochi']
['鮫鞘']#[['さめざや']]#100#['&n;']#['sharkskin scabbard']
['杮']#[['こけら']]#100#['&n;']#['chopped wood', 'wood chips']
['こけら葺き']#[['こけらぶき']]#100#['&n;']#['shingling', 'shingled roof']
['梁']#[['りょう']]#100#['&n;']#['Liang dynasty (of China; 502-557)']
['誰にでも']#[['だれにでも']]#100#['&exp;', '&conj;']#['anyone', 'anybody', 'everyone', 'whoever']
['塵バケツ']#[['ごみバケツ']]#100#['&n;']#['garbage can', 'rubbish bucket']
['魏']#[['ぎ']]#100#['&n;']#['Wei (kingdom in China during the Three Kingdoms period; 220-266 CE)', 'Cao Wei']
['顆']#[['か']]#100#['&n;']#['condyle']
['鬢']#[['びん']]#100#['&n;']#['sidelocks', 'hair at the temples']
['爪ヤスリ']#[['つめヤスリ'], ['つめやすり']]#100#['&n;']#['nail file']
['鵞ペン']#[['がペン']]#100#['&n;']#['quill pen']
['ぼろ糞']#[['ぼろくそ'], ['ボロクソ']]#100#['&adj-na;', '&n;']#['worthless', 'shit']
['鏨']#[['たがね']]#100#['&n;']#['chisel']
['ひら茸']#[['ひらたけ'], ['ヒラタケ']]#100#['&n;']#['oyster mushroom (Pleurotus ostreatus)']
['鉈']#[['なた'], ['ナタ']]#100#['&n;']#['nata', {'_': 'sturdy broad-bladed knife, used in woodcraft and hunting (often with a rectangular blade)', '$': {'g_type': 'expl'}}]
['ＣＦＩＴ']#[['シーフィット']]#100#['&n;']#['Controlled Flight Into Terrain', 'CFIT']
['瘤蜜柑']#[['こぶみかん'], ['コブミカン']]#100#['&n;']#['kaffir lime (Citrus hystrix)']
['ネ釜']#[['ネかま'], ['ネカマ']]#100#['&n;']#['male who pretends to be female online', 'Guy In Real Life', 'GIRL']
['のど飴']#[['のどあめ'], ['ノドあめ']]#100#['&n;']#['throat lozenge', 'cough drop']
['跑']#[['だく']]#100#['&n;']#['trot (in horse riding)']
['蜂雀']#[['はちすずめ']]#100#['&n;']#['hummingbird (Trochilidae family)']
['りんご飴']#[['りんごあめ'], ['りんごアメ']]#100#['&n;']#['candied apple', 'toffee apple']
['鳶ズボン']#[['とびズボン']]#100#['&n;']#[\"construction worker's baggy trousers\"]
['３カードモンテ']#[['スリーカードモンテ']]#100#['&n;']#['three-card monte (card game)']
['臍ピ']#[['へそピ'], ['ヘソピ']]#100#['&n;']#['navel piercing', 'belly button ring']
['センターＧＵＹ']#[['センターガイ']]#100#['&n;']#['young men with deep tans (or dark makeup) who wear white eyeliner and lipstick']
['臍ピアス']#[['へそピアス']]#100#['&n;']#['navel piercing', 'belly button ring']
['イメージＤＶＤ']#[['イメージディーブイディー']]#100#['&n;']#['DVD containing a slideshow of still images (usually of women)']
['ＤＶＤビデオ']#[['ディーブイディービデオ']]#100#['&n;']#['Digital Versatile Disc video', 'DVD video']
['楮']#[['こうぞ'], ['かぞ'], ['コウゾ']]#100#['&n;']#['hybrid mulberry tree used to make Japanese paper (Broussonetia kazinoki x papyrifera)']
['いい頃']#[['いいころ']]#100#['&exp;', '&n;']#['high time', 'about time']
['蟠り']#[['わだかまり']]#100#['&n;']#['cares', 'ill feeling', 'reserve']
['苧']#[['からむし'], ['むし'], ['ちょま'], ['まお'], ['カラムシ']]#100#['&n;']#['ramie (Boehmeria nivea var. nipononivea)']
['お粥']#[['おかゆ']]#100#['&n;']#['thin rice porridge', 'watery cooked rice', 'rice gruel', 'congee']
['かき餅']#[['かきもち']]#100#['&n;']#['mochi cut thin, dried, and baked or fried']
['エロ爺']#[['エロじじい']]#100#['&n;']#['dirty old man', 'pervert', 'lecher']
['ＫＧＢ']#[['カーゲーベー'], ['ケージービー']]#100#['&n;']#['KGB (former Soviet Union intelligence agency)']
['ＳＡＲＳ']#[['サーズ']]#100#['&n;']#['severe acute respiratory syndrome', 'SARS']
['櫃まぶし']#[['ひつまぶし']]#100#['&n;']#['chopped kabayaki eel on rice', {'_': 'eel fillets cooked over charcoal with soy flavoured sauce, cut in small pieces and served on rice', '$': {'g_type': 'expl'}}]
['ＲＮＡウイルス']#[['アールエヌエーウイルス']]#100#['&n;']#['RNA virus']
['ＭＲＳＡ']#[['エムアールエスエー']]#100#['&n;']#['methicillin-resistant staphylococcus aureus', 'MRSA']
['ＶＲＥ']#[['ブイアールイー']]#100#['&n;']#['vancomycin-resistant enterococcus', 'VRE']
['ＥＢＭ']#[['イービーエム']]#100#['&n;']#['evidence-based medicine', 'EBM']
['ペルシャ絨毯']#[['ペルシャじゅうたん']]#100#['&n;']#['Persian carpet']
['腫瘤']#[['しゅりゅう']]#100#['&n;']#['lump', 'mass', 'tumor (tumour)']
['澗']#[['かん']]#100#['&num;']#['10^36', 'undecillion']
['𥝱']#[['じょ']]#100#['&num;']#['10^24']
['瘡']#[['くさ']]#100#['&n;']#['eczema']
['瘡']#[['かさ']]#100#['&n;']#['pustule', 'scab']
['擽り']#[['くすぐり']]#100#['&n;']#['tickling', 'tickle']
['狡']#[['ずる']]#100#['&n;']#['cunning deed', 'sly trick', 'foul play']
['隈']#[['くま']]#100#['&n;']#['corner', 'nook', 'recess']
['ＶＩＳＡカード']#[['ビザカード']]#100#['&n;']#['Visa (credit) card']
['ラクナ梗塞']#[['ラクナこうそく']]#100#['&n;']#['lacunar infarction']
['ＸＯ醤']#[['エックスオージャン']]#100#['&n;']#['XO sauce (spicy seafood sauce used primarily in Cantonese cooking)']
['怯え']#[['おびえ']]#100#['&n;']#['being startled, surprised or afraid', 'panic', 'trepidation']
['ＱＲコード']#[['キューアールコード']]#100#['&n;']#['QR code']
['綬']#[['じゅ']]#100#['&n;']#['ribbon', 'cordon']
['乍らに']#[['ながらに']]#100#['&conj;']#['while', 'during', 'performed in this condition']
['吊り']#[['つり']]#100#['&n;']#['hanging', 'suspending']
['柵']#[['しがらみ']]#100#['&n;']#['weir']
['褌']#[['みつ']]#100#['&n;']#['T-shaped section of a loincloth']
['柝']#[['たく'], ['き']]#100#['&n;']#['wooden clappers (signalling the beginning or end of a performance)']
['誰であれ']#[['だれであれ']]#100#['&conj;']#['whoever']
['藁しべ']#[['わらしべ']]#100#['&n;']#['central stalk of a dried rice plant']
['噬臍']#[['ぜいせい']]#100#['&n;']#['bitter regret']
['爪哇']#[['ジャワ'], ['ジャバ'], ['ジャヴァ']]#100#['&n;']#['Java (Indonesian island)']
['６００']#[['ろっぴゃく']]#100#['&num;']#['600', 'six hundred']
['鉤爪']#[['かぎづめ'], ['カギづめ'], ['かぎつめ']]#100#['&n;']#['claw', 'talon']
['忽']#[['こつ']]#100#['&num;']#['one hundred-thousandth']
['杼']#[['ひ']]#100#['&n;']#['shuttle (of a loom)']
['ＧＤＰ']#[['ジーディーピー']]#100#['&n;']#['gross domestic product', 'GDP']
['〇〇']#[['まるまる']]#100#['&n;']#['symbol used as a placeholder (either because a number of other words could be used in that position, or because of censorship)']
['ＬＨＲ']#[['ロングホームルーム'], ['ロング・ホームルーム']]#100#['&n;']#['long homeroom', 'occasional or periodic extra long registration class or assembly in a school (e.g. for activities not related to class work)']
['楢']#[['なら']]#100#['&n;']#['oak (esp. Quercus serrata)']
['鷺']#[['さぎ'], ['サギ']]#100#['&n;']#['heron (Ardeidae)']
['箆鷺']#[['へらさぎ']]#100#['&n;']#['common spoonbill (Platalea leucorodia)']
['烏鷺']#[['うろ']]#100#['&n;']#['crows and herons']
['縹']#[['はなだ']]#100#['&n;']#['light indigo']
['皺']#[['しぼ'], ['さび']]#100#['&n;']#['bumpy texture of a material (esp. woven fabric)']
['鏃']#[['やじり']]#100#['&n;']#['arrowhead']
['沐猴']#[['もっこう']]#100#['&n;']#['monkey']
['蔓']#[['つる']]#100#['&n;']#['vine', 'bine', 'tendril', 'runner']
['ＰＡＳＭＯ']#[['パスモ']]#100#['&n;']#['PASMO', {'_': 'rechargeable prepaid IC card used for travel and purchases', '$': {'g_type': 'expl'}}]
['Ｓｕｉｃａ']#[['スイカ']]#100#['&n;']#['Suica', {'_': 'rechargeable prepaid IC card used for travel and purchases', '$': {'g_type': 'expl'}}]
['瘧']#[['おこり'], ['わらわやみ']]#100#['&n;']#['ague', 'intermittent fever', 'the shakes', 'malarial fever (old name)']
['畚']#[['ふご'], ['もっこ'], ['もっこう'], ['いしみ']]#100#['&n;']#['implement for carrying heavy loads, generally made of bamboo and woven grass or rope']
['ＶＡＮ']#[['バン'], ['ヴァン'], ['ブイエーエヌ']]#100#['&n;']#['value-added network', 'VAN']
['挫き']#[['くじき']]#100#['&n;']#['sprain']
['葡萄ジュース']#[['ぶどうジュース'], ['ブドウジュース']]#100#['&n;']#['grape juice']
['藪ワラビー']#[['やぶワラビー']]#100#['&n;']#['pademelon', 'paddymelon']
['縞ワラビー']#[['しまワラビー']]#100#['&n;']#['toolache wallaby (Macropus greyi)']
['アメリカ鰐']#[['アメリカわに'], ['アメリカワニ']]#100#['&n;']#['American crocodile (Crocodylus acutus)']
['ミシシッピ鰐']#[['ミシシッピわに']]#100#['&n;']#['American alligator (Alligator mississippiensis)']
['Ｖサイン']#[['ブイサイン']]#100#['&n;']#['V sign (hand gesture)', 'peace sign']
['ＶＳ']#[['ブイエス'], ['バーサス']]#100#['&conj;']#['versus', 'vs.', 'v.']
['ＶＤＳＬ']#[['ブイディーエスエル']]#100#['&n;']#['very-high-bit-rate digital subscriber line', 'VDSL']
['ｘＤＳＬ']#[['エックスディーエスエル'], ['エックスディエスエル']]#100#['&n;']#['x digital subscriber line', 'xDSL']
['ＡＤＳＬ']#[['エーディーエスエル']]#100#['&n;']#['asymmetric digital subscriber line', 'ADSL']
['ＨＤＳＬ']#[['エッチディーエスエル']]#100#['&n;']#['high-bit-rate digital subscriber line', 'HDSL']
['ＳＤＳＬ']#[['エスディーエスエル']]#100#['&n;']#['symmetric digital subscriber line', 'SDSL']
['ＭＮＰ']#[['エムエヌピー']]#100#['&n;']#['mobile number portability', 'MNP']
['葎']#[['むぐら'], ['もぐら'], ['うぐら']]#100#['&n;']#['creepers', 'trailing plants']
['ＤＶＤ']#[['ディーブイディー']]#100#['&n;']#['digital versatile disc', 'DVD']
['ＬＣＤ']#[['エルシーディー']]#100#['&n;']#['liquid crystal display', 'LCD']
['ＣＲＴ']#[['シーアルティー']]#100#['&n;']#['cathode-ray tube', 'CRT']
['タブレットＰＣ']#[['タブレットピーシー']]#100#['&n;']#['tablet personal computer (tablet PC)']
['ＰＤＡ']#[['ピーディーエー']]#100#['&n;']#['personal digital assistant', 'PDA']
['ＯＳ']#[['オーエス']]#100#['&n;']#['operating system', 'OS']
['ＵＳＢ']#[['ユーエスビー']]#100#['&n;']#['universal serial bus', 'USB']
['ＵＳＢメモリー']#[['ユーエスビーメモリー']]#100#['&n;']#['USB flash drive', 'USB memory stick', 'thumb drive']
['ＧＵＩ']#[['ジーユーアイ'], ['グイ'], ['グーイ']]#100#['&n;']#['graphical user interface', 'GUI']
['ＢＤ']#[['ビーディー']]#100#['&n;']#['Blu-ray Disc', 'BD']
['ＨＤＤＶＤ']#[['エッチディーディーブイディー']]#100#['&n;']#['high-definition digital versatile disc (HD DVD, high-definition DVD)']
['ＩＳＰ']#[['アイエスピー']]#100#['&n;']#['Internet Service Provider', 'ISP']
['ＦＴＴＨ']#[['エフティーティーエッチ']]#100#['&n;']#['fiber to the home (fibre)', 'FTTH', 'home fiber optic cable installation']
['ＦＴＴｘ']#[['エフティーティーエックス']]#100#['&n;']#['fiber to the x (generic term for any network architecture that uses optical fiber) (fibre)', 'FTTx']
['ＩＰ']#[['アイピー']]#100#['&n;']#['Internet Protocol', 'IP']
['ＣＡＴＶインターネット']#[['シーエーティーブイインターネット']]#100#['&n;']#['cable Internet (connection)']
['ＷＷＷ']#[['ダブリューダブリューダブリュー']]#100#['&n;']#['World Wide Web', 'WWW']
['ＵＲＬ']#[['ユーアールエル']]#100#['&n;']#['uniform resource locator', 'URL']
['ＩＰアドレス']#[['アイピーアドレス']]#100#['&n;']#['Internet Protocol address', 'IP address']
