Kanji#Reading#JLPT#Type#Meaning
['いじり回す']#[['いじりまわす']]#4#['&v5s;']#['to tinker with', 'to fumble with', 'to twist up']
['悶死']#[['もんし']]#4#['&n;', '&vs;']#['death in agony']
['悶着']#[['もんちゃく']]#4#['&n;', '&vs;']#['trouble', 'quarrel', 'dispute']
['夜なべ']#[['よなべ']]#4#['&n;', '&vs;']#['night work']
['夜回り']#[['よまわり']]#4#['&n;', '&vs;']#['night watch', 'night watchman']
['夜業']#[['やぎょう']]#4#['&n;', '&vs;']#['night work', 'night shift']
['夜働き']#[['よばたらき']]#4#['&n;', '&vs;']#['night work']
['夜這い']#[['よばい']]#4#['&n;', '&vs;']#[\"creeping at night into a woman's bedroom\", \"stealing into a girl's bedroom at night to make love\", 'sneaking visit']
['夜歩き']#[['よあるき']]#4#['&n;', '&vs;']#['walking around at night']
['夜明かし']#[['よあかし']]#4#['&n;', '&vs;']#['staying up all night', 'all-night vigil']
['夜立ち']#[['よだち']]#4#['&n;', '&vs;']#['setting out at night']
['野生']#[['やせい']]#4#['&n;', '&vs;', '&adj-no;']#['wild', 'growing wild', 'living in the wild']
['有する']#[['ゆうする']]#4#['&vs-s;', '&vt;']#['to have', 'to possess', 'to own', 'to be endowed with']
['夕立にあう']#[['ゆうだちにあう']]#4#['&exp;', '&v5u;']#['to be caught in an evening shower']
['用いる']#[['もちいる']]#4#['&v1;', '&vt;']#['to use', 'to make use of', 'to utilize', 'to utilise']
['用意']#[['ようい']]#4#['&n;', '&vs;']#['preparation', 'arrangements', 'provision', 'getting ready', 'laying out (e.g. a meal)']
['用心']#[['ようじん']]#4#['&n;', '&vs;']#['care', 'precaution', 'guarding', 'caution']
['来院']#[['らいいん']]#4#['&n;', '&vs;']#['visit to a hospital, temple, school, etc.']
['来合わせる']#[['きあわせる']]#4#['&v1;']#['to happen to come along']
['来着']#[['らいちゃく']]#4#['&n;', '&vs;']#['arrival']
['来朝']#[['らいちょう']]#4#['&n;', '&vs;']#['arriving in Japan', 'visiting Japan']
['立ち回る']#[['たちまわる']]#4#['&v5r;', '&vi;']#['to walk about', 'to walk around']
['立ち去る']#[['たちさる']]#4#['&v5r;', '&vi;']#['to leave', 'to depart', \"to take one's leave\"]
['立ち止まる']#[['たちどまる'], ['たちとまる']]#4#['&v5r;', '&vi;']#[\"to stop (in one's tracks)\", 'to come to a stop', 'to halt', 'to pause', 'to stand still']
['立て通す']#[['たてとおす']]#4#['&v5s;', '&vt;']#['to push through (an idea)']
['立方']#[['りっぽう']]#4#['&n;', '&vs;']#['cube']
['旅']#[['たび']]#4#['&n;', '&vs;']#['travel', 'trip', 'journey']
['旅行']#[['りょこう']]#4#['&n;', '&vs;']#['travel', 'trip', 'journey', 'excursion', 'tour']
['旅立ち']#[['たびだち']]#4#['&n;', '&vs;']#['setting off (on a trip)', 'departure']
['旅立つ']#[['たびだつ']]#4#['&v5t;', '&vi;']#['to begin a trip', 'to depart', 'to embark']
['料理']#[['りょうり']]#4#['&n;', '&vs;']#['cooking', 'cookery', 'cuisine', 'meal', 'food', 'dish', 'item on a menu']
['力む']#[['りきむ']]#4#['&v5m;', '&vi;']#['to strain (oneself)', 'to bear down', 'to exert oneself', 'to try (too) hard', \"to draw one's body taut\"]
['力を入れる']#[['ちからをいれる']]#4#['&exp;', '&v1;']#['to put effort into', 'to strain', 'to put strength into', 'to put forth effort']
['力行']#[['りっこう'], ['りょっこう']]#4#['&n;', '&vs;']#['strenuous efforts', 'exertion']
['力説']#[['りきせつ']]#4#['&n;', '&vs;']#['emphasizing (a point, argument, etc.)', 'stressing', 'insistence', 'arguing strongly (for, against)']
['力漕']#[['りきそう']]#4#['&n;', '&vs;']#['rowing hard']
['力走']#[['りきそう']]#4#['&n;', '&vs;']#['sprinting', 'running as fast as one can']
['力こぶを入れる']#[['ちからこぶをいれる']]#4#['&exp;', '&v1;']#['to put a lot of effort (into)', 'to take a strong interest (in)', 'to put great emphasis (on)', 'to show zeal (for)']
['林立']#[['りんりつ']]#4#['&n;', '&vs;']#['standing close together', 'bristling (with)']
['話し合う']#[['はなしあう']]#4#['&v5u;', '&vt;']#['to discuss', 'to talk together']
['佩用']#[['はいよう']]#4#['&n;', '&vs;']#['wearing (an insignia, sword, etc.)']
['作す']#[['なす'], ['さくす']]#4#['&v5s;']#['to make']
['僭用']#[['せんよう']]#4#['&n;', '&vs;']#[\"exceeding one's authority to use something\"]
['べき乗']#[['べきじょう']]#4#['&n;', '&vs;']#['exponentiation', 'power']
['刎死']#[['ふんし']]#4#['&n;', '&vs;']#['decapitating oneself']
['剪み切る']#[['はさみきる']]#4#['&v5r;', '&vt;']#['to nip off', 'to snip', 'to clip', 'to trim off']
['へき開']#[['へきかい']]#4#['&n;', '&vs;']#['cleavage (in gems)']
['嗜好']#[['しこう']]#4#['&n;', '&vs;']#['taste', 'liking', 'preference']
['夭死']#[['ようし']]#4#['&n;', '&vs;']#['premature death']
['奠都']#[['てんと']]#4#['&n;', '&vs;']#['transferring the capital']
['忖度']#[['そんたく']]#4#['&n;', '&vs;']#[\"surmise (about somebody's feelings)\", 'guess', 'conjecture']
['罹病']#[['りびょう']]#4#['&n;', '&vs;']#['contraction of a disease', 'morbidity']
['捩じ開ける']#[['ねじあける']]#4#['&v1;', '&vt;']#['to wrench open']
['ねじ切る']#[['ねじきる']]#4#['&v5r;', '&vt;']#['to twist off']
['揉み合う']#[['もみあう']]#4#['&v5u;', '&vt;']#['to jostle', 'to shove and push', 'to struggle with one another']
['へい死']#[['へいし']]#4#['&n;', '&vs;']#['falling dead', 'perishing', 'dying']
['梟首']#[['きょうしゅ']]#4#['&n;', '&vs;']#['exposure of a severed head']
['たらい回し']#[['たらいまわし']]#4#['&n;', '&vs;']#['acrobatic barrel-rolling (performed using the feet while lying on the back)']
['睨み合う']#[['にらみあう']]#4#['&v5u;', '&vi;']#['to glare at each other']
['にらみ合わせる']#[['にらみあわせる']]#4#['&v1;', '&vt;']#['to weigh one thing against the other', 'to act in consideration of', 'to compare and take into consideration']
['くじ引き']#[['くじびき']]#4#['&n;', '&vs;']#['lottery', 'drawn lot']
['縊死']#[['いし']]#4#['&n;', '&vs;']#['suicide by hanging', 'hanging oneself']
['膠着']#[['こうちゃく']]#4#['&n;', '&vs;', '&adj-no;']#['agglutination', 'adhesion']
['薨去']#[['こうきょ']]#4#['&n;', '&vs;']#['death (of a nobleman, Imperial family member, etc.)', 'demise']
['蝟集']#[['いしゅう']]#4#['&n;', '&vs;']#['swarm', 'throng', 'flock together']
['蠕動']#[['ぜんどう']]#4#['&n;', '&vs;', '&adj-no;']#['vermiculation', 'peristalsis', 'crawling like a worm']
['蠢動']#[['しゅんどう']]#4#['&n;', '&vs;']#['wriggling', 'squirming', 'maneuvering', 'manoeuvering']
['誦習']#[['しょうしゅう']]#4#['&n;', '&vs;']#['learning by memorization', 'learning by memorisation']
['謳歌']#[['おうか']]#4#['&n;', '&vs;']#['rejoicing', 'glorification', 'exultation', 'celebration', 'enjoyment', 'singing praises']
['轢死']#[['れきし']]#4#['&n;', '&vs;']#['death by being run over']
['邁進']#[['まいしん']]#4#['&n;', '&vs;']#['pushing forward (undaunted, bravely)', 'working vigorously towards an aim', 'struggling on', 'striving towards']
['頤使']#[['いし']]#4#['&n;', '&vs;']#['bossing someone around', \"having a person under one's control\"]
['馘首']#[['かくしゅ']]#4#['&n;', '&vs;']#['dismissal', 'discharge']
['驀進']#[['ばくしん']]#4#['&n;', '&vs;']#['dash', 'rush']
['黽勉']#[['びんべん']]#4#['&n;', '&vs;']#['industry', 'diligence']
['悪口']#[['わるぐち'], ['わるくち'], ['あっこう']]#4#['&n;', '&vs;']#['slander', 'bad-mouthing', 'abuse', 'insult', 'speaking ill (of)']
['一回転']#[['いちかいてん'], ['いっかいてん']]#4#['&n;', '&vs;']#['one revolution', 'one rotation']
['下知']#[['げじ'], ['げち'], ['げぢ']]#4#['&n;', '&vs;']#['command', 'order']
['元服']#[['げんぷく'], ['げんぶく']]#4#['&n;', '&vs;']#['male coming-of-age-ceremony']
['借家']#[['しゃくや'], ['しゃっか'], ['かりや'], ['かりいえ']]#4#['&n;', '&vs;']#['house for rent', 'rented house', 'renting a house']
['借問']#[['しゃもん'], ['しゃくもん']]#4#['&n;', '&vs;']#['inquiring', 'enquiring']
['重祚']#[['じゅうそ'], ['ちょうそ']]#4#['&n;', '&vs;']#['second accession to the throne']
['小便']#[['しょうべん'], ['しょんべん']]#4#['&n;', '&vs;']#['urine', 'piss', 'pee', 'urination']
['切り出す']#[['きりだす']]#4#['&v5s;', '&vt;']#['to quarry', 'to cut (timber)', 'to cut and carry off']
['待ち惚ける']#[['まちぼうける'], ['まちぼける']]#4#['&v1;']#['to wait in vain']
['注ぐ']#[['そそぐ']]#4#['&v5g;', '&vt;']#['to pour (into)']
['転ぶ']#[['ころぶ'], ['まろぶ']]#4#['&v5b;', '&vi;']#['to fall down', 'to fall over']
['発足']#[['ほっそく'], ['はっそく']]#4#['&n;', '&vs;']#['starting', 'inauguration', 'launch', 'founding', 'establishment', 'start-up']
['夜行']#[['やこう'], ['やぎょう']]#4#['&n;', '&vs;']#['walking around at night', 'night travel']
['来場']#[['らいじょう'], ['らいば']]#4#['&n;', '&vs;']#['attendance']
['逢引']#[['あいびき']]#4#['&n;', '&vs;']#['(secret) date', 'clandestine meeting', 'assignation', 'tryst', 'rendezvous']
['開く']#[['あく']]#4#['&v5k;', '&vi;']#['to open (e.g. doors)']
['後へ引く']#[['あとへひく']]#4#['&v5k;']#['to retreat', 'to recede']
['合わさる']#[['あわさる']]#4#['&v5r;', '&vi;']#['to join', 'to be put together', 'to combine', 'to unite', 'to fit', 'to close (e.g. of a wound)']
['言い合う']#[['いいあう']]#4#['&v5u;', '&vt;']#['to say to each other', 'to exchange (jokes, comments, etc.)']
['歌う']#[['うたう']]#4#['&v5u;', '&vt;', '&vi;']#['to sing']
['写す']#[['うつす']]#4#['&v5s;', '&vt;']#['to transcribe', 'to duplicate', 'to reproduce', 'to imitate', 'to trace']
['映す']#[['うつす']]#4#['&v5s;', '&vt;']#['to project', 'to reflect', 'to cast (shadow)']
['運送']#[['うんそう']]#4#['&n;', '&vs;']#['transport', 'freight', 'shipping']
['思いつく']#[['おもいつく']]#4#['&v5k;', '&vt;', '&vi;']#['to think of', 'to hit upon', \"to come into one's mind\", 'to be struck with an idea']
['思う']#[['おもう']]#4#['&v5u;', '&vt;']#['to think', 'to consider', 'to believe', 'to reckon']
['終わる']#[['おわる']]#4#['&v5r;', '&vi;', '&aux-v;']#['to end', 'to come to an end', 'to close', 'to finish']
['買い物']#[['かいもの'], ['かいもん']]#4#['&n;', '&vs;']#['shopping', 'purchased goods']
['顔合わせ']#[['かおあわせ']]#4#['&n;', '&vs;']#['meeting together', 'introduction']
['貸出']#[['かしだし']]#4#['&n;', '&vs;']#['lending', 'loaning']
['勾引す']#[['かどわす']]#4#['&v5s;', '&vt;']#['to kidnap']
['考えつく']#[['かんがえつく']]#4#['&v5k;', '&vt;']#['to think of', 'to come up with']
['教誨']#[['きょうかい']]#4#['&n;', '&vs;']#['counselling (often of imprisoned criminals by a chaplain, etc.)', 'giving guidance']
['切りつける']#[['きりつける']]#4#['&v1;', '&vt;']#['to cut at', 'to slash at']
['気を使う']#[['きをつかう']]#4#['&exp;', '&v5u;']#[\"to pay attention to another's needs\", 'to attend to', 'to fuss about', 'to take into consideration']
['区画']#[['くかく']]#4#['&n;', '&vs;']#['division', 'section', 'compartment', 'block', 'plot', 'lot', 'partition', 'boundary']
['区切る']#[['くぎる']]#4#['&v5r;', '&vt;']#['to demarcate', 'to delimit', 'to divide (an area)', 'to mark off', 'to cut off']
['建言']#[['けんげん']]#4#['&n;', '&vs;']#['offering an opinion (to a superior, the government, etc.)', 'proposal', 'suggestion', 'advice']
['小売']#[['こうり']]#4#['&n;', '&vs;']#['retail']
['声をかける']#[['こえをかける']]#4#['&exp;', '&v1;']#['to greet', 'to call out (to)', 'to start talking (to)']
['転ける']#[['こける']]#4#['&v1;', '&vi;']#['to fall over', 'to fall down', 'to fall', 'to collapse']
['寒々']#[['さむざむ']]#4#['&adv-to;', '&vs;']#['wintry', 'very cold-looking (e.g. landscape)']
['仕出かす']#[['しでかす']]#4#['&v5s;', '&vt;']#['to make a mess', 'to perpetrate', 'to do', 'to finish up', 'to be guilty of']
['使む']#[['しむ']]#4#['&v5m;', '&aux-v;']#['to make happen (old causative verbal ending)']
['仕分け']#[['しわけ']]#4#['&n;', '&vs;']#['classification', 'assortment']
['仕分ける']#[['しわける']]#4#['&v1;', '&vt;']#['to assort', 'to classify', 'to journalize (in accounting)', 'to journalise']
['せき止める']#[['せきとめる']]#4#['&v1;', '&vt;']#['to dam up', 'to hold back', 'to keep back', 'to bring to a halt', 'to intercept']
['注ぎいれる']#[['そそぎいれる']]#4#['&v1;']#['to pour into']
['建つ']#[['たつ']]#4#['&v5t;', '&vi;']#['to be erected', 'to be built']
['近道']#[['ちかみち']]#4#['&n;', '&vs;']#['short way', 'shortcut']
['力づける']#[['ちからづける']]#4#['&v1;', '&vt;']#['to encourage (someone)', 'to cheer (someone) up', 'to give someone a charge', 'to empower']
['茶々を入れる']#[['ちゃちゃをいれる'], ['チャチャをいれる']]#4#['&exp;', '&v1;']#['to interrupt (with frivolous remarks, silly jokes, etc.)', 'to butt in', 'to make teasing remarks']
['作る']#[['つくる']]#4#['&v5r;', '&vt;']#['to make', 'to produce', 'to manufacture', 'to build', 'to construct']
['繋ぎ止める']#[['つなぎとめる']]#4#['&v1;', '&vt;']#['to tie', 'to fasten', 'to hitch']
['手引き']#[['てびき']]#4#['&n;', '&vs;']#['guidance', 'lead', 'acting as guide']
['天引き']#[['てんびき']]#4#['&n;', '&vs;']#['deduction in advance (of tax, interest, etc.)']
['研ぐ']#[['とぐ']]#4#['&v5g;', '&vt;']#['to sharpen', 'to hone', 'to whet', 'to grind']
['遁世']#[['とんせい']]#4#['&n;', '&vs;']#['seclusion from the world']
['同坐']#[['どうざ']]#4#['&n;', '&vs;']#['sitting together', 'the same theater (theatre)', 'involvement', 'entanglement', 'implication']
['夏やせ']#[['なつやせ']]#4#['&n;', '&vs;']#['losing weight over the summer']
['乗せる']#[['のせる']]#4#['&v1;', '&vt;']#['to place on (something)']
['はい回る']#[['はいまわる']]#4#['&v5r;', '&vi;']#['to creep about', 'to crawl around']
['映える']#[['はえる']]#4#['&v1;', '&vi;']#['to shine', 'to glow']
['計る']#[['はかる']]#4#['&v5r;', '&vt;']#['to measure', 'to weigh', 'to survey', 'to time (sound, gauge, estimate)']
['図る']#[['はかる']]#4#['&v5r;', '&vt;']#['to plan', 'to attempt', 'to devise']
['話し合い']#[['はなしあい']]#4#['&n;', '&vs;']#['discussion', 'talk', 'tête-à-tête', 'conference']
['早める']#[['はやめる']]#4#['&v1;', '&vt;']#['to bring forward (e.g. by 3 hours)', 'to advance', \"to hasten (e.g. one's death)\", 'to expedite', 'to precipitate']
['売春']#[['ばいしゅん']]#4#['&n;', '&vs;', '&adj-no;']#['prostitution']
['引き上げる']#[['ひきあげる']]#4#['&v1;', '&vt;']#['to pull up', 'to drag up', 'to lift up']
['引き合わせる']#[['ひきあわせる']]#4#['&v1;', '&vt;']#['to introduce']
['引き下げる']#[['ひきさげる']]#4#['&v1;', '&vt;']#['to pull down', 'to lower', 'to reduce', 'to withdraw']
['引き立てる']#[['ひきたてる']]#4#['&v1;', '&vt;']#['to set off to advantage', 'to bring into prominence', 'to enhance']
['引き出す']#[['ひきだす']]#4#['&v5s;', '&vt;']#['to pull out', 'to take out', 'to draw out']
['引きつける']#[['ひきつける']]#4#['&v1;', '&vt;']#['to attract', 'to draw near']
['引きつる']#[['ひきつる']]#4#['&v5r;', '&vi;']#['to have a cramp', 'to twitch', 'to spasm']
['引き止める']#[['ひきとめる']]#4#['&v1;', '&vt;']#['to detain', 'to check', 'to restrain']
['広がる']#[['ひろがる']]#4#['&v5r;', '&vi;']#['to spread (out)', 'to extend', 'to stretch', 'to reach to', 'to get around', 'to fill (e.g. a space)']
['広げる']#[['ひろげる']]#4#['&v1;', '&vt;']#['to spread', 'to extend', 'to expand', 'to enlarge', 'to widen', 'to broaden']
['前売り']#[['まえうり']]#4#['&n;', '&vs;']#['advance sale', 'booking']
['待ちわびる']#[['まちわびる']]#4#['&v1;', '&vt;']#['to be tired of waiting', 'to wait impatiently']
['回る']#[['まわる']]#4#['&v5r;', '&vi;']#['to turn', 'to revolve']
['回る']#[['もとおる']]#4#['&v5r;', '&vi;']#['to wander around']
['やり合う']#[['やりあう']]#4#['&v5u;', '&vt;']#['to compete with', 'to argue with', 'to quarrel']
['別れる']#[['わかれる']]#4#['&v1;', '&vi;']#['to part (usu. of people)', 'to part from', 'to part with', 'to be apart from']
['悪ずれ']#[['わるずれ']]#4#['&n;', '&vs;']#['over-sophistication']
['使える']#[['つかえる']]#4#['&v1;']#['to be usable', 'to be serviceable', 'to be useful']
['映し出す']#[['うつしだす']]#4#['&v5s;', '&vt;']#['to project', 'to show']
['早立ち']#[['はやだち']]#4#['&n;', '&vs;']#['early-morning departure']
['注す']#[['さす']]#4#['&v5s;', '&vt;']#['to pour', 'to add (liquid)', 'to serve (drinks)']
['自問']#[['じもん']]#4#['&n;', '&vs;']#['asking oneself']
['千切れる']#[['ちぎれる']]#4#['&v1;', '&vi;']#['to be torn off', 'to come off']
['長引く']#[['ながびく']]#4#['&v5k;', '&vi;']#['to be prolonged', 'to drag on']
['夏ばて']#[['なつばて'], ['なつバテ']]#4#['&n;', '&vs;']#['suffering from summer heat', 'summer heat fatigue']
['間に合わせる']#[['まにあわせる']]#4#['&v1;']#['to make do with', 'to manage with', 'to make shift']
['店開き']#[['みせびらき']]#4#['&n;', '&vs;']#['starting a business']
['用足し']#[['ようたし'], ['ようたつ']]#4#['&n;', '&vs;']#['running errands', 'going on errands']
